"subtopics","paper","conf","year","status","topic"
"2","108791","7","2013","2","1"
"2","94006","5","2012","1","1"
"2","73901","2","2010","1","1"
"2","107227","7","2013","1","1"
"2","163314","14","2017","2","1"
"2","1570192701","11","2015","1","1"
"2","93368","5","2012","1","1"
"2","121639","8","2014","2","1"
"2","163316","14","2017","2","1"
"2","99925","6","2012","1","1"
"2","137430","9","2015","1","1"
"2","94018","5","2012","1","1"
"2","163866","14","2017","1","1"
"2","99956","6","2012","2","1"
"2","84215","4","2011","2","1"
"2","1570196959","11","2015","1","1"
"2","84218","4","2011","2","1"
"2","134523","9","2015","1","1"
"2","107275","7","2013","2","1"
"2","94110","5","2012","2","1"
"2","1570282859","13","2016","2","1"
"2","108744","7","2013","1","1"
"2","121708","8","2014","1","1"
"2","1570287330","13","2016","2","1"
"2","149650","12","2016","2","1"
"2","148969","12","2016","1","1"
"2","99083","6","2012","1","1"
"2","62265","1","2010","2","1"
"2","163922","14","2017","2","1"
"2","62418","1","2010","2","1"
"2","84322","4","2011","2","1"
"2","164318","14","2017","1","1"
"2","1570206129","11","2015","1","1"
"2","62382","1","2010","1","1"
"2","101165","6","2012","1","1"
"2","163777","14","2017","1","1"
"2","134612","9","2015","1","1"
"2","133859","9","2015","2","1"
"2","72870","2","2010","2","1"
"2","134544","9","2015","1","1"
"2","137438","9","2015","2","1"
"2","163901","14","2017","2","1"
"2","62179","1","2010","1","1"
"2","107297","7","2013","2","1"
"2","99246","6","2012","2","1"
"2","72921","2","2010","1","1"
"2","137393","9","2015","1","1"
"2","99252","6","2012","2","1"
"2","73951","2","2010","2","1"
"2","1570281384","13","2016","2","1"
"2","92787","5","2012","2","1"
"2","92790","5","2012","2","1"
"2","134585","9","2015","1","1"
"2","121656","8","2014","1","1"
"2","108813","7","2013","1","1"
"2","149269","12","2016","1","1"
"2","84270","4","2011","1","1"
"2","163913","14","2017","1","1"
"2","84379","4","2011","2","1"
"2","137132","9","2015","1","1"
"2","121166","8","2014","1","1"
"2","149685","12","2016","1","1"
"2","149965","12","2016","2","1"
"2","62531","1","2010","1","1"
"2","73038","2","2010","1","1"
"2","74160","2","2010","1","1"
"2","149696","12","2016","2","1"
"2","137337","9","2015","1","1"
"2","92437","5","2012","1","1"
"2","93898","5","2012","1","1"
"2","94092","5","2012","2","1"
"2","137306","9","2015","1","1"
"2","150470","12","2016","1","1"
"2","1570154833","10","2015","1","1"
"2","73986","2","2010","1","1"
"2","149804","12","2016","1","1"
"2","93902","5","2012","1","1"
