,paper,conf,year,status
229,70868,2,2010,rejected
230,70874,2,2010,accepted
231,70882,2,2010,rejected
232,71185,2,2010,accepted
233,71209,2,2010,rejected
234,71295,2,2010,accepted
235,72700,2,2010,accepted
236,72833,2,2010,rejected
237,72840,2,2010,accepted
238,72860,2,2010,rejected
239,72870,2,2010,rejected
240,72874,2,2010,rejected
241,72885,2,2010,accepted
242,72921,2,2010,accepted
243,72927,2,2010,rejected
244,72931,2,2010,accepted
245,72959,2,2010,accepted
246,72963,2,2010,accepted
247,72976,2,2010,accepted
248,72993,2,2010,rejected
249,73007,2,2010,rejected
250,73038,2,2010,accepted
251,73039,2,2010,rejected
252,73040,2,2010,accepted
253,73042,2,2010,rejected
254,73044,2,2010,accepted
255,73066,2,2010,accepted
256,73087,2,2010,rejected
257,73120,2,2010,rejected
258,73152,2,2010,rejected
259,73171,2,2010,accepted
260,73173,2,2010,rejected
261,73175,2,2010,rejected
262,73176,2,2010,rejected
263,73207,2,2010,accepted
264,73216,2,2010,accepted
265,73219,2,2010,accepted
266,73223,2,2010,rejected
267,73230,2,2010,accepted
268,73243,2,2010,rejected
269,73314,2,2010,accepted
270,73356,2,2010,accepted
271,73385,2,2010,accepted
272,1,2,4,accepted
273,73453,2,2010,rejected
274,1,2,4,acepto
275,73460,2,2010,accepted
276,73493,2,2010,accepted
277,73510,2,2010,accepted
278,73516,2,2010,accepted
279,73519,2,2010,rejected
280,73526,2,2010,accepted
281,73556,2,2010,accepted
282,73557,2,2010,rejected
283,73558,2,2010,accepted
284,73626,2,2010,rejected
285,73647,2,2010,rejected
286,73649,2,2010,accepted
287,73666,2,2010,accepted
288,73710,2,2010,accepted
289,73730,2,2010,accepted
290,73732,2,2010,accepted
291,73734,2,2010,accepted
292,73735,2,2010,rejected
293,73777,2,2010,accepted
294,73780,2,2010,rejected
295,73807,2,2010,rejected
296,73808,2,2010,accepted
297,73809,2,2010,accepted
298,73811,2,2010,accepted
299,73819,2,2010,accepted
300,73820,2,2010,accepted
301,73821,2,2010,accepted
302,73823,2,2010,rejected
303,73835,2,2010,accepted
304,73836,2,2010,accepted
305,73837,2,2010,accepted
306,73838,2,2010,accepted
307,73839,2,2010,accepted
308,73841,2,2010,accepted
309,73852,2,2010,rejected
310,73864,2,2010,rejected
311,73865,2,2010,accepted
312,73867,2,2010,accepted
313,73870,2,2010,accepted
314,73871,2,2010,accepted
315,73872,2,2010,accepted
316,73873,2,2010,accepted
317,73874,2,2010,accepted
318,73875,2,2010,accepted
319,73878,2,2010,rejected
320,73879,2,2010,rejected
321,73880,2,2010,accepted
322,73882,2,2010,rejected
323,73883,2,2010,accepted
324,73884,2,2010,rejected
325,73885,2,2010,rejected
326,73890,2,2010,accepted
327,73891,2,2010,accepted
328,73892,2,2010,accepted
329,73894,2,2010,rejected
330,73897,2,2010,rejected
331,73898,2,2010,accepted
332,73899,2,2010,accepted
333,73900,2,2010,accepted
334,73901,2,2010,accepted
335,73902,2,2010,accepted
336,73906,2,2010,accepted
337,73908,2,2010,accepted
338,73912,2,2010,rejected
339,73914,2,2010,accepted
340,73917,2,2010,accepted
341,73918,2,2010,accepted
342,73921,2,2010,accepted
343,73923,2,2010,accepted
344,73926,2,2010,accepted
345,73927,2,2010,rejected
346,73929,2,2010,accepted
347,73933,2,2010,accepted
348,73935,2,2010,accepted
349,73936,2,2010,rejected
350,73937,2,2010,accepted
351,73943,2,2010,accepted
352,73944,2,2010,accepted
353,73945,2,2010,accepted
354,73946,2,2010,accepted
355,73949,2,2010,rejected
356,73951,2,2010,rejected
357,73955,2,2010,accepted
358,73956,2,2010,rejected
359,73958,2,2010,accepted
360,73962,2,2010,rejected
361,73966,2,2010,rejected
362,73969,2,2010,accepted
363,73970,2,2010,accepted
364,73972,2,2010,accepted
365,73981,2,2010,accepted
366,73986,2,2010,accepted
367,73989,2,2010,rejected
368,73991,2,2010,accepted
369,2,1,3,**
370,73995,2,2010,rejected
371,4,3,2,?!
372,74048,2,2010,rejected
373,74052,2,2010,accepted
374,74067,2,2010,accepted
375,2,3,4,**
376,74082,2,2010,rejected
377,74095,2,2010,accepted
378,74160,2,2010,accepted
379,77291,3,2011,accepted
380,77335,3,2011,rejected
381,77442,3,2011,rejected
382,77597,3,2011,accepted
383,77655,3,2011,accepted
384,77696,3,2011,accepted
385,77709,3,2011,accepted
386,77723,3,2011,rejected
387,77741,3,2011,accepted
388,77785,3,2011,accepted
