,paper,subtopics
318,73875,16-27-42
319,73878,21-55
320,73879,41
321,73880,7-25-39
322,73882,26-33-41
323,73883,3-55
324,73884,1
325,73885,2
326,73890,3-23-26
327,73891,3-30-55
328,73892,3-30-35
329,73894,10-15-25
330,73897,12-39
331,73898,21-33
332,73899,22-33
333,73900,3-36
334,73901,2
335,73902,3-36
336,73906,21
337,73908,2-15-37-40
338,73912,26-32
339,73914,23-31
340,73917,26-19-32
341,73918,26-32
342,73921,26
343,73923,21-25
344,73926,12-25
345,73927,17-41-42
346,73929,14
347,73933,3-25
348,73935,26-30-31-39
349,73936,8-12
350,73937,26
351,73943,16-42
352,73944,16
353,73945,21-45
354,73946,32-31-28-55
355,73949,28
356,73951,1-2-31-32
357,73955,3-12-13-31-39
358,73956,26-30-31
359,73958,24-35
360,73962,30-36
361,73966,30-39
362,73969,25-23-31
363,73970,23-28
364,73972,30-3-31
365,73981,23
366,73986,2-7-32
367,73989,6-23-25-31
368,73991,2-6
369,2,4
370,73995,42
371,4,1
372,74048,2-46-49
373,74052,25
374,74067,17-25-31-42
375,2,1
376,74082,45-42
377,74095,22-41-55
378,74160,1-2-52
379,77291,25
380,77335,12-23-25
381,77442,1-2-6
382,77597,3-26-41-53
383,77655,22-28
384,77696,25-13-3-35
385,77709,3-23-29-52-53
386,77723,13-21-23
387,77741,12-13-24-26
388,77785,3-12-25
389,77795,22-26-31
390,77823,26-31
391,77825,27-30-33-49
392,77826,30-56
393,77982,3-22-25-30
394,2,1
395,78075,12-13-22
396,78083,26-29-41
397,78085,1-2-52-54
398,78118,13-21-24
399,78188,2-26-35
400,78192,2-53
401,78196,13-41
402,1,3
403,78215,12-21-30-41
404,78222,3-11-30-52
405,78224,2-36-47
406,78286,16-30
407,78287,22-23-30-32-42
408,78288,3-4-26
409,78291,39-55
410,78295,21-29-41
411,78297,12-26-31
412,78310,16-24
413,78311,13-14-16-18-42
414,78323,2-35
415,78336,24-54
416,78338,25-32-48
417,78339,15-22-28
418,78343,3-14-28-32-46
419,78349,3-12-13-25
420,78351,2-6-28
421,78363,1-2-25-30-41-49
422,78367,21-25-36
423,78368,4-12-13-52-53-54
424,78371,3-12-25-30-32-41
425,78372,2-23-25
426,78379,2-3-14-23-36
427,78384,1-2-36
428,78386,1-6-23
429,78387,25-26-32-51
430,78388,2-32-49
431,78390,26-32-37
432,78391,3-16-30-31-37
433,78392,2-31
434,78394,13-23
435,78399,14-20-52-54
436,78400,2-22-49
437,78404,14-29-42-52
438,78413,13-23-25-32
439,78415,10-17-25-32
440,78416,3-12-18
441,78418,1-2-6
442,78421,23-42
443,78423,13-21-27-28-31-41
444,78427,2-31-33
445,78428,14-23-25-35-42
446,78430,35
447,78433,12-13-41
448,78435,3-25-41
449,78438,55-54-52-27-56
450,78442,31-22-56
451,78449,25-35
452,78456,16-17-31-42
453,78461,14-19-32-37-42
454,78466,27-30-33-36
455,78467,2-3-12
456,78468,23-32-41
457,78482,21-41
458,78483,10-31-35
459,1,3
460,78492,14-21-27-35
461,78494,26
462,78495,10-26-49
463,78502,21-22-53
464,78512,30-31-39
465,78513,14-28
466,78557,14-22
467,78564,32-41-50
468,78578,35-55
469,78972,45
470,78989,23-24-55
471,4,1
472,80682,27
473,80683,21-42
474,80686,13-16
475,80786,42
476,80810,21-39-42
477,80813,8-17
478,80830,41-42
479,80834,24-27-33
480,80839,42
481,80842,31-38-42
482,80843,13-55
483,80848,9-10
484,80854,42
485,80865,24-42
486,3,2
487,81151,21-26
488,82552,7-22-27-30-37-47
489,82833,27-39-42
490,83282,31-32-41
491,83910,22
492,83982,25-27-32
493,84007,26-55
494,84037,12-16-31
495,84054,14-23-25
496,84098,3-25-30-36
497,84100,3-12-23-32
498,84134,14-27-31-32
499,84143,39-13-12-7-52
500,84150,30
501,84176,22-27
502,84177,24-48
503,84178,2-26
504,84179,26-42-55
505,84187,13-22-28
506,84191,2
507,84193,25-56
508,84196,17-32-42
509,84212,36-39
510,84215,2-6-8
511,84216,5-6
512,84218,2-3-30
513,84220,21-25
514,84221,31-41-44
515,84222,23-25-26
516,84224,2-55
517,84227,3-23-30-35
518,84230,17-22-41
519,84231,13-37-41
520,84238,21-26
521,4,3
522,84242,26-33
523,84251,8-55
524,84254,23-26
525,84256,14-22
526,84261,2-31
527,84266,21-25
528,84270,2-23-31-49
529,84273,35-36-42
530,84289,25-31-49
531,84292,41
532,3,1
533,84322,1-2-12
534,84323,8
535,84325,30-52
536,84342,3-12-18
537,84346,30-27-35
538,84351,17-27-30-31
539,84356,27-25-23-42
540,84357,31-27-3-41
541,84373,13-25
542,84377,2-3-37
543,84379,2-26
544,84396,25-34
545,84401,5-41
546,84403,5-31
547,84408,25-31-41-55
548,84416,26
549,85474,26-41
550,85589,3-27-31
551,85590,1-2
552,85591,24-40-42
553,85602,25-41
554,85610,8-26-30
555,85615,2-25
556,85633,26-49
557,85636,23-37
558,85646,9-37-39
559,85649,17-3-2-23
560,85651,31-41-42
561,85673,7-55
562,85678,31-25-2-55
563,85681,31-41-55
564,85692,26
565,85694,2-48
566,85699,26-42
567,85700,2-27
568,85720,3-7-24-25-30-41
569,85725,22-2-1-52
570,85731,1-2-36
571,85732,21-25-44
572,85742,23-32
573,85743,35-31-25-10-40-42
574,85810,38-37-12-39
575,85956,40-25-21-15-42
576,87854,10
577,88535,3-5-8
578,88558,9-25
579,88247,2-20
580,90921,26
581,90939,25
582,91189,2-49
583,91432,9-23
584,91994,21-25-27-31-51
585,92020,26
586,92082,13-28
587,92106,10-14-17-19-35
588,92321,26-55
589,92365,26-49
590,92400,26-31-39-52
591,92405,3-47
592,92437,1-2-25-30-47
593,92463,4-8
594,92507,51-46-41-25-12-53
595,92540,2-53
596,92552,4-23-26-32
597,92553,20-43
598,92609,49
599,92613,17-27
600,92618,4-23-30-32-37-53
601,92621,26-48
602,92623,10-26
603,92660,47
604,92663,6-30-31-46-47
605,92697,25-39-52
606,92704,22-25-30-47
607,92730,30-36-53
608,92734,4-9
609,92738,25-30-36-41
610,92751,10-14-16-22-25
611,92755,25-31-41
612,92787,2
613,92790,1-2-22-25-31-38
614,92793,1-6-22-30
615,92802,22-10-49
616,92808,10-22-53
617,92816,12-25-30-39
618,92829,10-25
619,92860,56
620,92902,8-10-16-27-51
621,92907,26
622,92933,6
623,92935,10-21-23
624,92940,10-14-16-21-23-41-45
625,93330,2-5-36
626,93331,16-14-17-19
627,93332,17-31-41-42
628,93334,3-39
629,93335,3-10-25
630,93336,26
631,93337,10-14-23-42-45-55
632,93343,21
633,93347,10-35
634,93357,14-35-37
635,93365,1-36
636,93366,8-14-15-16
637,93367,2-48
638,93368,2-6-25-31-41-47
639,93369,28-32-51
640,93370,26-53-55
641,93371,21
642,93372,49
643,93373,16-42
644,93374,55
645,93375,25-26-52-55
646,93377,5-8
647,3,2
648,93379,25-31
649,93380,22-23
650,93381,3
651,93382,54
652,93384,10-29-35
653,93386,2-12-25-27-32
654,93388,54-55
655,93394,13-26-37
656,93403,47-51
657,93404,14-16-17-42
658,93419,55
659,93425,26-30-31
660,93504,5-25
661,93510,23-26-36-41
662,93522,6
663,93573,2-12-35-53
664,93597,37-47
665,93608,21
666,93609,12-30
667,93620,6-23-36
668,93668,23-22
669,93703,12-26-39
670,93705,47
671,93706,29-12-7-46
672,93712,19-17-10-35-52
673,93733,22-28-41
674,93757,8-10
675,93852,26
676,93855,7-22-25
677,93863,35-17-41
678,93865,3-23-51
679,93898,2-6-35
680,93899,6
681,93901,2-6-35
682,93902,2-6-56
683,93906,22-31-40
684,93913,21-41-49
685,93915,1-39
686,93917,10-32-35
687,93919,13-26-49-55
688,93921,2-31
689,93923,16-25-42-47
690,93925,25-30-39
691,93926,25-26
692,93929,31-52
693,93930,31-26-25-9
694,93931,25-30-36
695,93938,26
696,93939,14-42
697,93941,7-22-30-31-39
698,3,2
699,93952,25
700,93954,1-2-36
701,3,2
702,93958,12-39
703,93959,6-22
704,93963,2-36-47
705,93967,21-25-41-51
706,93968,6
707,93969,10-25
708,93970,30-52
709,93971,31-41
710,93972,12-33
