paper,conf,year,status
73453,2,2010,rejected
73460,2,2010,accepted
73493,2,2010,accepted
73510,2,2010,accepted
73516,2,2010,accepted
73519,2,2010,rejected
73526,2,2010,accepted
73556,2,2010,accepted
73557,2,2010,rejected
73558,2,2010,accepted
73626,2,2010,rejected
73647,2,2010,rejected
73649,2,2010,accepted
73666,2,2010,accepted
73710,2,2010,accepted
73730,2,2010,accepted
73732,2,2010,accepted
73734,2,2010,accepted
73735,2,2010,rejected
73777,2,2010,accepted
73780,2,2010,rejected
73807,2,2010,rejected
73808,2,2010,accepted
73809,2,2010,accepted
73811,2,2010,accepted
73819,2,2010,accepted
73820,2,2010,accepted
73821,2,2010,accepted
73823,2,2010,rejected
73835,2,2010,accepted
73836,2,2010,accepted
73837,2,2010,accepted
73838,2,2010,accepted
73839,2,2010,accepted
73841,2,2010,accepted
73852,2,2010,rejected
73864,2,2010,rejected
73865,2,2010,accepted
73867,2,2010,accepted
73870,2,2010,accepted
73871,2,2010,accepted
73872,2,2010,accepted
73873,2,2010,accepted
73874,2,2010,accepted
73875,2,2010,accepted
73878,2,2010,rejected
73879,2,2010,rejected
73880,2,2010,accepted
73882,2,2010,rejected
73883,2,2010,accepted
73884,2,2010,rejected
73885,2,2010,rejected
73890,2,2010,accepted
73891,2,2010,accepted
73892,2,2010,accepted
73894,2,2010,rejected
73897,2,2010,rejected
73898,2,2010,accepted
73899,2,2010,accepted
73900,2,2010,accepted
73901,2,2010,accepted
73902,2,2010,accepted
73906,2,2010,accepted
73908,2,2010,accepted
73912,2,2010,rejected
73914,2,2010,accepted
73917,2,2010,accepted
73918,2,2010,accepted
73921,2,2010,accepted
73923,2,2010,accepted
73926,2,2010,accepted
73927,2,2010,rejected
73929,2,2010,accepted
73933,2,2010,accepted
73935,2,2010,accepted
73936,2,2010,rejected
73937,2,2010,accepted
73943,2,2010,accepted
73944,2,2010,accepted
73945,2,2010,accepted
73946,2,2010,accepted
73949,2,2010,rejected
73951,2,2010,rejected
73955,2,2010,accepted
73956,2,2010,rejected
73958,2,2010,accepted
73962,2,2010,rejected
73966,2,2010,rejected
73969,2,2010,accepted
73970,2,2010,accepted
73972,2,2010,accepted
73981,2,2010,accepted
73986,2,2010,accepted
73989,2,2010,rejected
73991,2,2010,accepted
73995,2,2010,rejected
74048,2,2010,rejected
74052,2,2010,accepted
74067,2,2010,accepted
74082,2,2010,rejected
74095,2,2010,accepted
74160,2,2010,accepted
77291,3,2011,accepted
77335,3,2011,rejected
77442,3,2011,rejected
77597,3,2011,accepted
77655,3,2011,accepted
77696,3,2011,accepted
77709,3,2011,accepted
77723,3,2011,rejected
77741,3,2011,accepted
77785,3,2011,accepted
77795,3,2011,rejected
77823,3,2011,accepted
77825,3,2011,accepted
77826,3,2011,accepted
77982,3,2011,accepted
78075,3,2011,rejected
78083,3,2011,accepted
78085,3,2011,accepted
78118,3,2011,accepted
78188,3,2011,accepted
78192,3,2011,rejected
78196,3,2011,rejected
78215,3,2011,accepted
78222,3,2011,accepted
78224,3,2011,accepted
78286,3,2011,rejected
78287,3,2011,rejected
78288,3,2011,accepted
78291,3,2011,accepted
78295,3,2011,rejected
78297,3,2011,accepted
78310,3,2011,accepted
78311,3,2011,accepted
78323,3,2011,rejected
78336,3,2011,accepted
78338,3,2011,rejected
78339,3,2011,accepted
78343,3,2011,rejected
78349,3,2011,rejected
78351,3,2011,accepted
78363,3,2011,accepted
78367,3,2011,rejected
78368,3,2011,accepted
78371,3,2011,accepted
78372,3,2011,accepted
78379,3,2011,accepted
78384,3,2011,rejected
78386,3,2011,accepted
78387,3,2011,accepted
78388,3,2011,accepted
78390,3,2011,accepted
78391,3,2011,accepted
78392,3,2011,accepted
78394,3,2011,accepted
78399,3,2011,accepted
78400,3,2011,rejected
78404,3,2011,accepted
78413,3,2011,accepted
78415,3,2011,accepted
78416,3,2011,accepted
78418,3,2011,accepted
78421,3,2011,accepted
78423,3,2011,rejected
78427,3,2011,accepted
78428,3,2011,rejected
78430,3,2011,accepted
78433,3,2011,accepted
78435,3,2011,accepted
78438,3,2011,accepted
78442,3,2011,accepted
78449,3,2011,accepted
78456,3,2011,accepted
78461,3,2011,accepted
78466,3,2011,accepted
78467,3,2011,rejected
78468,3,2011,accepted
78482,3,2011,accepted
78483,3,2011,rejected
78492,3,2011,accepted
78494,3,2011,rejected
78495,3,2011,accepted
78502,3,2011,accepted
78512,3,2011,accepted
78513,3,2011,accepted
78557,3,2011,accepted
78564,3,2011,rejected
78578,3,2011,rejected
78972,3,2011,accepted
78989,3,2011,accepted
80682,3,2011,rejected
80683,3,2011,rejected
80686,3,2011,rejected
80786,3,2011,rejected
80810,3,2011,accepted
80813,3,2011,accepted
80830,3,2011,accepted
80834,3,2011,rejected
80839,3,2011,rejected
80842,3,2011,rejected
80843,3,2011,rejected
80848,3,2011,rejected
80854,3,2011,rejected
80865,3,2011,rejected
81151,4,2011,rejected
82552,4,2011,rejected
82833,4,2011,rejected
83282,4,2011,rejected
83910,4,2011,rejected
83982,4,2011,rejected
84007,4,2011,accepted
84037,4,2011,accepted
84054,4,2011,accepted
84098,4,2011,accepted
84100,4,2011,rejected
84134,4,2011,accepted
84143,4,2011,accepted
84150,4,2011,accepted
84176,4,2011,rejected
84177,4,2011,accepted
84178,4,2011,rejected
84179,4,2011,rejected
84187,4,2011,accepted
84191,4,2011,rejected
84193,4,2011,accepted
84196,4,2011,accepted
84212,4,2011,rejected
84215,4,2011,rejected
84216,4,2011,accepted
84218,4,2011,rejected
84220,4,2011,accepted
84221,4,2011,accepted
84222,4,2011,accepted
